p,method,coverage,coverage_error,mcse,gamma_mean
0.37,cornish_fisher,0.9487666666666666,0.0012333333333333085,0.001272903228697936,-0.16419777715902298
0.37,calibrated,0.9528333333333333,0.0028333333333333544,0.0012239549586241895,-0.16419777715902298
0.395,gaussian,0.9538666666666666,0.003866666666666685,0.0012111296226923706,-0.16152176037042665
0.395,cornish_fisher,0.9502666666666667,0.0002666666666667483,0.0012551218916754508,-0.16152176037042665
0.395,calibrated,0.9508666666666666,0.0008666666666666822,0.0012479215906042724,-0.16152176037042665
0.415,gaussian,0.9547333333333333,0.004733333333333367,0.0012002443578365695,-0.09571766910230933
0.415,cornish_fisher,0.9536,0.0036000000000000476,0.0012144551590459538,-0.09571766910230933
0.415,calibrated,0.9500666666666666,6.666666666665932e-05,0.0012575107097695774,-0.09571766910230933
0.44,gaussian,0.9526,0.0026000000000000467,0.0012268284313627557,-0.12224624055059169
0.44,cornish_fisher,0.9516333333333333,0.0016333333333333755,0.0012386461994481747,-0.12224624055059169
0.44,calibrated,0.9492666666666667,0.0007333333333332526,0.0012670104211913202,-0.12224624055059169
0.465,gaussian,0.9541666666666667,0.004166666666666763,0.0012073750989769617,-0.03891800944436142
0.465,cornish_fisher,0.9541,0.0040999999999999925,0.0012082106604396443,-0.03891800944436142
0.465,calibrated,0.9529666666666666,0.002966666666666673,0.0012223092746776341,-0.03891800944436142
0.49,gaussian,0.9532666666666667,0.003266666666666751,0.0012185965819866836,-0.06288681448645549
0.49,cornish_fisher,0.9530666666666666,0.003066666666666662,0.001221073237710111,-0.06288681448645549
0.49,calibrated,0.9543666666666667,0.004366666666666741,0.0012048642001241219,-0.06288681448645549
0.515,gaussian,0.9529333333333333,0.0029333333333333433,0.0012227209487526251,0.01082077855626053
0.515,cornish_fisher,0.9526333333333333,0.0026333333333333764,0.001226418438048444,0.01082077855626053
0.515,calibrated,0.9500333333333333,3.333333333332966e-05,0.0012579083020221695,0.01082077855626053
0.54,gaussian,0.9541,0.0040999999999999925,0.0012082106604396443,0.05692127437851445
0.54,cornish_fisher,0.9541,0.0040999999999999925,0.0012082106604396443,0.05692127437851445
0.54,calibrated,0.9492666666666667,0.0007333333333332526,0.0012670104211913202,0.05692127437851445
0.56,gaussian,0.9531333333333334,0.0031333333333334323,0.0012202483657330061,0.08588206342319536
0.56,cornish_fisher,0.9525333333333333,0.0025333333333333874,0.001227647916712038,0.08588206342319536
0.56,calibrated,0.95,0.0,0.0012583057392117922,0.08588206342319536
0.585,gaussian,0.9543,0.0043000000000000815,0.0012057018702813721,0.13234958929040122
0.585,cornish_fisher,0.9514666666666667,0.0014666666666667272,0.001240669831030653,0.13234958929040122
0.585,calibrated,0.9494666666666667,0.0005333333333332746,0.0012646437648017135,0.13234958929040122
0.61,gaussian,0.9520666666666666,0.002066666666666661,0.0012333657052808645,0.16403149977875767
0.61,cornish_fisher,0.9486,0.0013999999999999568,0.0012748599923128815,0.16403149977875767
0.61,calibrated,0.9458,0.0041999999999999815,0.0013071898612417915,0.16403149977875767
0.635,gaussian,0.9491333333333334,0.0008666666666665712,0.0012685851553192221,0.21179101094490915
0.635,cornish_fisher,0.9442333333333334,0.005766666666666587,0.0013248489920937596,0.21179101094490915
0.635,calibrated,0.9485333333333333,0.0014666666666666162,0.0012756416540822227,0.21179101094490915
0.66,gaussian,0.9458,0.0041999999999999815,0.0013071898612417915,0.2358815195451783
0.66,cornish_fisher,0.9379666666666666,0.01203333333333334,0.0013926617068152735,0.2358815195451783
0.66,calibrated,0.9539,0.0039000000000000146,0.0012107131507228847,0.2358815195451783
0.685,gaussian,0.946,0.0040000000000000036,0.0013049137902558933,0.23888609456441742
0.685,cornish_fisher,0.9388333333333333,0.011166666666666658,0.0013835378028271771,0.23888609456441742
0.685,calibrated,0.9500333333333333,3.333333333332966e-05,0.0012579083020221695,0.23888609456441742
0.705,gaussian,0.9426,0.007399999999999962,0.0013429475045585364,0.30116199297826607
0.705,cornish_fisher,0.9327333333333333,0.017266666666666652,0.0014461657606952975,0.30116199297826607
0.705,calibrated,0.9536333333333333,0.0036333333333333773,0.0012140400719483258,0.30116199297826607
0.73,gaussian,0.9363666666666667,0.013633333333333275,0.0014093039916003717,0.3697811301963626
