p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.9,cornish_fisher,0.825375,0.12462499999999999,0.003001365411931293,0.7799251729671812,150,1.5263382959717677,18.693749999999998
0.9,calibrated,0.9485625,0.0014374999999999805,0.0017462761020552782,0.7799251729671812,150,0.017605707526253855,0.21562499999999707
0.5,gaussian,0.9601875,0.010187500000000016,0.0015457090776515407,-0.03221566975627206,180,0.13667965512467486,1.8337500000000029
0.5,cornish_fisher,0.9595625,0.00956250000000003,0.0015572874773494378,-0.03221566975627206,180,0.12829440020905084,1.7212500000000053
0.5,calibrated,0.946375,0.0036249999999999893,0.0017809646152963012,-0.03221566975627206,180,0.048634478510620284,0.6524999999999981
0.8,gaussian,0.9199375,0.030062499999999992,0.0021455258110447835,0.49153913648917713,180,0.40333076144152447,5.411249999999999
0.8,cornish_fisher,0.8965625,0.053437499999999916,0.0024075166613357784,0.49153913648917713,180,0.716939295285869,9.618749999999984
0.8,calibrated,0.945625,0.004374999999999907,0.0017926649048100143,0.49153913648917713,180,0.05869678440936823,0.7874999999999832
0.9,gaussian,0.870375,0.07962499999999995,0.0026554467535496733,0.7948404631981799,180,1.068281476250524,14.33249999999999
0.9,cornish_fisher,0.82525,0.12474999999999992,0.003002212075078974,0.7948404631981799,180,1.6736968811585915,22.454999999999984
0.9,calibrated,0.9491875,0.0008124999999999938,0.001736206170140625,0.7948404631981799,180,0.010900831390311392,0.14624999999999888
0.5,gaussian,0.956875,0.0068750000000000755,0.0016059505435839232,0.009508426718223988,210,0.09962821513005347,1.4437500000000159
0.5,cornish_fisher,0.9563125,0.006312500000000054,0.0016159150338072774,0.009508426718223988,210,0.09147681571032161,1.3256250000000114
0.5,calibrated,0.953375,0.003375000000000017,0.0016667916294298762,0.009508426718223988,210,0.048908396518389595,0.7087500000000035
0.8,gaussian,0.9203125,0.029687499999999978,0.002140931490376181,0.45124269332079453,210,0.43021274715249863,6.234374999999996
0.8,cornish_fisher,0.897125,0.052875000000000005,0.0024017146788154298,0.45124269332079453,210,0.7662315454547666,11.103750000000002
0.8,calibrated,0.95325,0.003250000000000086,0.0016689150199306127,0.45124269332079453,210,0.04709697442511692,0.6825000000000181
0.9,gaussian,0.878125,0.07187499999999991,0.0025862797167819063,0.7811739379604904,210,1.0415677036323645,15.093749999999982
0.9,cornish_fisher,0.8323125,0.11768749999999994,0.0029534767895624935,0.7811739379604904,210,1.7054539008171687,24.71437499999999
0.9,calibrated,0.9536875,0.0036875000000000657,0.0016614687091499418,0.7811739379604904,210,0.05343695175157451,0.7743750000000138
0.5,gaussian,0.9518125,0.0018124999999999947,0.0016931011643532639,0.037393809033713934,240,0.02807912926000369,0.4349999999999987
0.5,cornish_fisher,0.950875,0.0008750000000000702,0.001708649583278414,0.037393809033713934,240,0.013555441711727047,0.21000000000001684
0.5,calibrated,0.9444375,0.005562499999999915,0.0018109960759508487,0.037393809033713934,240,0.08617387945311371,1.3349999999999795
0.8,gaussian,0.92325,0.02674999999999994,0.0021044511977591687,0.444502247520428,240,0.4144092180441927,6.419999999999986
0.8,cornish_fisher,0.901,0.04899999999999993,0.0023611305554754906,0.444502247520428,240,0.7591047358566527,11.759999999999984
0.8,calibrated,0.9505,0.000500000000000056,0.0017148205080999,0.444502247520428,240,0.007745966692415701,0.12000000000001343
0.9,gaussian,0.8724375,0.07756249999999998,0.0026373555481029433,0.5662743615269491,240,1.2015930831608508,18.614999999999995
0.9,cornish_fisher,0.83625,0.1137499999999999,0.0029254907440889296,0.5662743615269491,240,1.7622074225243733,27.299999999999976
0.9,calibrated,0.9501875,0.0001875000000000071,0.0017199421291817865,0.5662743615269491,240,0.002904737509655673,0.045000000000001705
0.5,gaussian,0.9531875,0.0031875000000000098,0.001669975483423148,-0.03818984932230776,270,0.052375969561431666,0.8606250000000026
0.5,cornish_fisher,0.9523125,0.0023125000000000506,0.0016847366697749456,-0.03818984932230776,270,0.03799825242692173,0.6243750000000137
0.5,calibrated,0.9488125,0.001187500000000008,0.0017422567951465644,-0.03818984932230776,270,0.019512616111121674,0.32062500000000216
0.8,gaussian,0.9229375,0.02706249999999999,0.002108374241770037,0.4560438489773029,270,0.44468225137450657,7.306874999999997
0.8,cornish_fisher,0.8990625,0.05093749999999997,0.002381558327725646,0.4560438489773029,270,0.8369885331875814,13.753124999999992
0.8,calibrated,0.9505,0.000500000000000056,0.0017148205080999,0.4560438489773029,270,0.008215838362578411,0.1350000000000151
0.9,gaussian,0.8790625,0.07093749999999999,0.0025776881732202162,0.7956255294269928,270,1.1656220676906814,19.153124999999996
0.9,cornish_fisher,0.8285,0.12149999999999994,0.0029800141568455674,0.7956255294269928,270,1.9964487221063294,32.804999999999986
0.9,calibrated,0.951625,0.0016250000000000986,0.001696224840915112,0.7956255294269928,270,0.026701474678378467,0.4387500000000266
0.5,gaussian,0.957625,0.007624999999999993,0.0015925482601596421,0.010659483258046257,300,0.13206887407712678,2.287499999999998
0.5,cornish_fisher,0.9578125,0.0078125,0.0015891765722330473,0.010659483258046257,300,0.13531646934131855,2.34375
