p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.9,gaussian,0.8699375,0.08006249999999993,0.002659255606529649,0.8247347690040385,150,0.9805613626578901,12.009374999999988
0.9,cornish_fisher,0.82075,0.12924999999999998,0.0030323200430940663,0.8247347690040385,150,1.5829827462736286,19.387499999999996
0.9,calibrated,0.9535,0.0035000000000000586,0.0016646649437649607,0.8247347690040385,150,0.04286607049870633,0.5250000000000088
0.5,gaussian,0.954375,0.004375000000000018,0.0016496848065426018,-0.03705317267286381,180,0.05869678440936972,0.7875000000000032
0.5,cornish_fisher,0.9544375,0.004437500000000094,0.0016486084775074318,-0.03705317267286381,180,0.05953530990093317,0.798750000000017
0.5,calibrated,0.9515,0.0015000000000000568,0.0016983033813191327,-0.03705317267286381,180,0.02012461179749887,0.27000000000001023
0.8,gaussian,0.917375,0.032624999999999904,0.002176552741363622,0.5260673357922803,180,0.4377103065955826,5.872499999999983
0.8,cornish_fisher,0.8898125,0.06018749999999995,0.0024754572158965653,0.5260673357922803,180,0.8075000483746109,10.833749999999991
0.8,calibrated,0.9518125,0.0018124999999999947,0.0016931011643532639,0.5260673357922803,180,0.024317239255310142,0.32624999999999904
0.9,gaussian,0.8695625,0.08043749999999994,0.0026625124247802814,0.6776080343672609,180,1.0791823076408353,14.47874999999999
0.9,cornish_fisher,0.8293125,0.12068749999999995,0.002974404114101575,0.6776080343672609,180,1.6191927242070345,21.723749999999992
0.9,calibrated,0.949625,0.0003749999999999032,0.0017291139236434068,0.6776080343672609,180,0.005031152949373228,0.06749999999998257
0.5,gaussian,0.95575,0.005750000000000033,0.0016258062903525747,0.022431631190482873,210,0.08332541629058975,1.207500000000007
0.5,cornish_fisher,0.954875,0.004875000000000074,0.0016410502425085887,0.022431631190482873,210,0.07064546163767457,1.0237500000000155
0.5,calibrated,0.9475625,0.0024374999999999813,0.0017622394948216818,0.022431631190482873,210,0.03532273081883649,0.5118749999999961
0.8,gaussian,0.9165625,0.03343750000000001,0.002186259413841225,0.49229912022584116,210,0.48455540995070945,7.021875000000001
0.8,cornish_fisher,0.8915625,0.05843749999999992,0.0024581345644836806,0.49229912022584116,210,0.8468398286054442,12.271874999999984
0.8,calibrated,0.945875,0.004124999999999934,0.0017887754955380787,0.49229912022584116,210,0.05977692907803048,0.8662499999999862
0.9,gaussian,0.8731875,0.07681249999999995,0.0026307210257331304,0.7417942808515534,210,1.1131188763166755,16.130624999999988
0.9,cornish_fisher,0.8281875,0.12181249999999999,0.0029821653714598687,0.7417942808515534,210,1.7652308298952009,25.580624999999998
0.9,calibrated,0.9495,0.0004999999999999449,0.0017311439498204646,0.7417942808515534,210,0.007245688373093921,0.10499999999998844
0.5,gaussian,0.9531875,0.0031875000000000098,0.001669975483423148,-0.004808471898304789,240,0.04938053766414472,0.7650000000000023
0.5,cornish_fisher,0.953625,0.0036249999999999893,0.0016625349502905203,-0.004808471898304789,240,0.05615825852000738,0.8699999999999974
0.5,calibrated,0.9571875,0.007187500000000013,0.0016003825683986864,-0.004808471898304789,240,0.11134827120346344,1.7250000000000032
0.8,gaussian,0.917875,0.03212499999999996,0.002170548380810135,0.4455755059942764,240,0.4976783599876525,7.70999999999999
0.8,cornish_fisher,0.894625,0.05537499999999995,0.0024273327616825633,0.4455755059942764,240,0.8578658111849421,13.289999999999988
0.8,calibrated,0.94875,0.0012499999999999734,0.0017432627007281493,0.4455755059942764,240,0.01936491673103667,0.2999999999999936
0.9,gaussian,0.8875625,0.062437499999999924,0.002497440046749746,0.8201983979291423,240,0.9672775907153012,14.984999999999982
0.9,cornish_fisher,0.8421875,0.10781249999999998,0.002882140207854985,0.8201983979291423,240,1.6702240680519482,25.874999999999993
0.9,calibrated,0.9494375,0.0005624999999999103,0.0017321578593215378,0.8201983979291423,240,0.0087142125289653,0.13499999999997847
0.5,gaussian,0.9546875,0.004687500000000067,0.0016442946311365167,-0.00012851638928238987,270,0.07702348464916507,1.265625000000018
0.5,cornish_fisher,0.9544375,0.004437500000000094,0.0016486084775074318,-0.00012851638928238987,270,0.07291556546787678,1.1981250000000254
0.5,calibrated,0.94925,0.0007499999999999174,0.0017351951889484935,-0.00012851638928238987,270,0.01232375754386488,0.2024999999999777
0.8,gaussian,0.928,0.02199999999999991,0.0020435263639111676,0.46527642947304704,270,0.3614968879534081,5.9399999999999755
