p,method,coverage,coverage_error,mcse,gamma_mean
0.37,calibrated,0.9487,0.0012999999999999678,0.001273686382120811,-0.19371783320091396
0.395,gaussian,0.9541666666666667,0.004166666666666763,0.0012073750989769617,-0.09092504813473326
0.395,cornish_fisher,0.9525666666666667,0.002566666666666717,0.0012272382575281545,-0.09092504813473326
0.395,calibrated,0.9489333333333333,0.0010666666666666602,0.0012709427238894004,-0.09092504813473326
0.415,gaussian,0.9514333333333334,0.0014333333333333975,0.0012410740718635013,-0.16580165169134067
0.415,cornish_fisher,0.9486,0.0013999999999999568,0.0012748599923128815,-0.16580165169134067
0.415,calibrated,0.9540333333333333,0.004033333333333333,0.0012090455219196982,-0.16580165169134067
0.44,gaussian,0.9528666666666666,0.002866666666666684,0.001223543790555699,-0.0596692251868004
0.44,cornish_fisher,0.9519,0.0019000000000000128,0.0012353999352436446,-0.0596692251868004
0.44,calibrated,0.9491333333333334,0.0008666666666665712,0.0012685851553192221,-0.0596692251868004
0.465,gaussian,0.9526666666666667,0.002666666666666706,0.0012260082774175288,-0.032568931333273404
0.465,cornish_fisher,0.9521,0.0020999999999999908,0.0012329583664233497,-0.032568931333273404
0.465,calibrated,0.953,0.0030000000000000027,0.0012218974315929036,-0.032568931333273404
0.49,gaussian,0.9568666666666666,0.006866666666666688,0.0011729286549614305,-0.00614232768529848
0.49,cornish_fisher,0.9563333333333334,0.006333333333333413,0.001179828926707722,-0.00614232768529848
0.49,calibrated,0.9516333333333333,0.0016333333333333755,0.0012386461994481747,-0.00614232768529848
0.515,gaussian,0.9567666666666667,0.006766666666666699,0.001174226159678822,0.04777278529446536
0.515,cornish_fisher,0.9560333333333333,0.006033333333333335,0.001183689132738391,0.04777278529446536
0.515,calibrated,0.9533,0.0033000000000000806,0.0012181832100851384,0.04777278529446536
0.54,gaussian,0.956,0.006000000000000005,0.0011841171113252838,0.04080518930406056
0.54,cornish_fisher,0.9546666666666667,0.004666666666666708,0.0012010859284028797,0.04080518930406056
0.54,calibrated,0.9521333333333334,0.0021333333333334314,0.001232550862897604,0.04080518930406056
0.56,gaussian,0.9555333333333333,0.00553333333333339,0.0011900893835089616,0.09011628472157894
0.56,cornish_fisher,0.9548666666666666,0.004866666666666686,0.0011985590731590382,0.09011628472157894
0.56,calibrated,0.9492666666666667,0.0007333333333332526,0.0012670104211913202,0.09011628472157894
0.585,gaussian,0.9516,0.0016000000000000458,0.0012390512499489276,0.15343495687924164
0.585,cornish_fisher,0.9498,0.00019999999999997797,0.0012606871142357252,0.15343495687924164
0.585,calibrated,0.949,0.0010000000000000009,0.0012701574705523727,0.15343495687924164
0.61,gaussian,0.9568666666666666,0.006866666666666688,0.0011729286549614305,0.11069458383838675
0.61,cornish_fisher,0.9526333333333333,0.0026333333333333764,0.001226418438048444,0.11069458383838675
0.61,calibrated,0.9503666666666667,0.0003666666666667373,0.0012539253773059427,0.11069458383838675
0.635,gaussian,0.9492333333333334,0.0007666666666665822,0.001267404331987523,0.17806159461763887
0.635,cornish_fisher,0.9444,0.005599999999999938,0.0013229845048223351,0.17806159461763887
0.635,calibrated,0.9496333333333333,0.0003666666666666263,0.0012626673559777539,0.17806159461763887
0.66,gaussian,0.9458666666666666,0.004133333333333322,0.0013064317249102046,0.2723392643841335
0.66,cornish_fisher,0.9380666666666667,0.01193333333333324,0.00139161291978715,0.2723392643841335
0.66,calibrated,0.9502666666666667,0.0002666666666667483,0.0012551218916754508,0.2723392643841335
0.685,gaussian,0.9428,0.007199999999999984,0.0013407480499084583,0.3019410058928516
0.685,cornish_fisher,0.9348,0.015199999999999991,0.0014253532895391237,0.3019410058928516
0.685,calibrated,0.9525,0.0025000000000000577,0.0012280574090815133,0.3019410058928516
0.705,gaussian,0.9399,0.010099999999999998,0.0013722000583005385,0.30187200341477066
0.705,cornish_fisher,0.9281,0.02189999999999992,0.0014914242633581273,0.30187200341477066
0.705,calibrated,0.9463333333333334,0.003666666666666596,0.0013011092133964712,0.30187200341477066
0.73,gaussian,0.937,0.0129999999999999,0.0014027473043994767,0.3236036642690978
0.73,cornish_fisher,0.9232666666666667,0.026733333333333276,0.0015367208474420337,0.3236036642690978
